# lane=local seed=1002 blocks=46 restart=0 iteration=88563 uncovered=50 concentration=468 hash=5840235005238822916
1 2 3 8 22 31 34 36
1 5 7 10 22 24 30 32
1 6 13 19 21 29 30 38
1 6 15 18 23 25 37 46
1 6 24 27 35 39 44 47
1 8 10 12 14 20 25 28
1 9 15 17 26 35 40 43
1 15 16 24 33 42 45 48
2 4 9 10 13 26 33 37
2 5 18 20 24 28 35 46
2 6 12 17 32 34 43 45
2 7 11 17 19 23 27 39
2 7 16 25 34 38 46 48
2 11 14 21 29 40 41 44
2 12 25 30 40 41 42 47
3 4 17 25 30 33 34 44
3 5 9 11 12 24 26 38
3 7 12 13 15 16 18 44
3 10 21 23 29 34 35 42
3 14 22 37 43 44 47 48
3 14 27 30 39 40 45 46
3 19 20 28 32 33 41 43
4 5 21 24 25 29 31 43
4 6 7 8 11 33 35 47
4 6 16 20 22 28 40 48
4 10 18 27 39 41 45 48
4 13 23 36 41 42 43 46
4 14 15 16 19 35 38 41
5 8 13 14 17 23 24 48
5 8 19 24 34 37 40 41
5 8 27 38 39 42 44 45
5 15 16 17 18 21 29 47
6 7 9 14 26 31 41 42
7 20 21 28 29 36 37 45
8 9 21 26 29 32 46 48
8 10 11 15 16 18 30 43
9 16 25 26 27 32 36 39
9 18 19 22 26 34 42 45
9 20 23 26 28 30 44 47
10 17 19 31 36 44 46 47
11 12 30 31 35 36 37 48
11 13 22 25 32 35 45 47
11 17 20 22 28 37 38 42
12 21 22 27 29 33 39 46
13 15 20 27 28 31 34 39
18 23 31 32 33 36 38 40
