1 2 3 4 5 6 7 8
1 9 14 23 29 30 33 44
1 10 21 22 28 29 34 45
1 11 16 17 25 26 42 43
1 12 18 20 25 27 31 47
1 13 15 19 24 32 35 48
1 36 37 38 39 40 41 46
2 8 9 17 20 28 29 35
2 8 10 14 26 27 37 48
2 8 11 12 19 22 23 38
2 8 13 16 31 32 39 40
2 8 15 21 24 25 30 41
2 8 33 42 44 45 46 48
2 18 34 42 43 44 46 48
2 18 36 42 44 46 47 48
3 9 19 26 31 34 41 45
3 10 24 25 32 33 39 44
3 11 15 20 29 38 40 48
3 12 13 28 30 37 42 43
3 13 17 21 23 27 36 46
3 14 16 18 22 35 41 47
4 9 22 24 27 40 42 43
4 10 11 13 20 33 41 44
4 12 14 17 32 34 38 45
4 15 18 23 26 28 39 47
4 16 21 29 30 31 38 48
4 19 25 29 35 36 37 46
5 9 10 12 15 16 36 46
5 11 27 30 34 35 39 45
5 13 18 24 26 29 38 47
5 14 19 20 21 39 42 43
5 15 17 22 31 33 37 44
5 23 25 28 32 40 41 48
6 9 11 18 21 32 37 47
6 10 23 31 35 38 42 43
6 12 17 24 29 39 41 48
6 13 14 15 25 34 40 45
6 16 19 27 28 33 38 44
6 20 22 26 30 32 36 46
7 9 13 22 25 38 39 48
7 10 17 18 19 30 40 47
7 11 14 24 28 31 36 46
7 12 21 26 33 35 40 44
7 15 27 29 32 41 42 43
7 16 20 23 24 34 37 45
8 18 33 34 36 43 45 47
