# Post-clean-room reference fetched 2026-07-29 from:
# https://ljcr.dmgordon.org/cover/show_cover.php?k=8&t=2&v=48
# Creator: Franco Atzeni. Method recorded there: Local Search.
1 2 3 4 5 6 7 16
1 8 13 23 29 30 33 44
1 9 21 22 28 29 34 45
1 10 15 17 25 26 42 43
1 11 18 20 25 27 31 47
1 12 14 19 24 32 35 48
1 16 18 33 44 45 46 47
1 36 37 38 39 40 41 46
2 8 16 17 20 28 29 35
2 9 13 16 26 27 37 48
2 10 11 16 19 22 23 38
2 12 15 16 31 32 39 40
2 14 16 21 24 25 30 41
2 18 33 36 44 45 47 48
2 18 34 42 43 44 46 48
3 8 19 26 31 34 41 45
3 9 24 25 32 33 39 44
3 10 14 20 29 38 40 48
3 11 12 28 30 37 42 43
3 12 17 21 23 27 36 46
3 13 15 18 22 35 41 47
4 8 22 24 27 40 42 43
4 9 10 12 20 33 41 44
4 11 13 17 32 34 38 45
4 14 18 23 26 28 39 47
4 15 21 29 30 31 38 48
4 19 25 29 35 36 37 46
5 8 9 11 14 15 36 46
5 10 27 30 34 35 39 45
5 12 18 24 26 29 38 47
5 13 19 20 21 39 42 43
5 14 17 22 31 33 37 44
5 23 25 28 32 40 41 48
6 8 10 18 21 32 37 47
6 9 23 31 35 38 42 43
6 11 17 24 29 39 41 48
6 12 13 14 25 34 40 45
6 15 19 27 28 33 38 44
6 20 22 26 30 32 36 46
7 8 12 22 25 38 39 48
7 9 17 18 19 30 40 47
7 10 13 24 28 31 36 46
7 11 21 26 33 35 40 44
7 14 27 29 32 41 42 43
7 15 20 23 24 34 37 45
16 33 34 36 42 43 45 47
