1 2 3 4 5 6 7 8
1 2 11 15 20 29 34 48
1 2 12 17 22 27 39 46
1 3 13 19 24 32 38 45
1 5 15 23 29 36 39 41
1 6 12 21 26 30 37 43
1 7 9 18 26 28 40 44
1 14 16 22 31 35 45 48
2 6 14 19 29 38 43 44
2 7 15 16 19 28 33 47
2 10 18 25 26 37 41 48
2 13 21 23 31 40 42 45
3 4 14 16 18 30 36 46
3 7 9 22 29 37 42 47
3 8 10 19 30 36 39 42
3 12 22 25 29 34 36 44
3 14 20 27 33 40 41 48
3 15 17 18 31 38 40 43
4 8 12 24 25 30 40 47
4 9 11 21 32 33 36 43
4 9 12 19 24 31 35 41
4 10 11 17 28 29 37 45
4 12 20 23 25 33 38 42
4 15 22 24 26 30 33 45
5 7 12 18 32 39 45 48
5 8 13 20 22 28 35 43
5 10 17 30 33 35 44 47
5 11 16 24 31 39 40 44
5 14 21 28 34 39 41 47
6 9 13 17 25 27 36 45
6 10 22 32 38 40 41 46
6 11 15 18 27 35 42 47
6 15 23 24 28 36 46 48
6 16 20 21 25 38 39 43
7 10 14 23 24 27 34 43
7 11 19 21 25 26 35 46
7 13 20 26 31 36 38 47
8 9 11 23 30 38 41 48
8 13 18 29 31 33 34 46
8 14 16 17 26 32 34 42
8 15 21 23 27 32 37 44
9 10 11 12 13 14 15 16
17 18 19 20 21 22 23 24
25 26 27 28 29 30 31 32
33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48
